link,writer,time,text
https://lh3.googleusercontent.com/a-/ALV-UjWbdcY3VQq9HRFbmYd2DKWOCccThfiXlSqNLHsv63H4Mq9hJlYS=w43-h43-p-rp-mo-ba2-br100,Jasper Grimm,3 days ago,"The diabetic outpatient clinic has been a literal lifesaver for me, from giving me advice on better essential care management to helping make sure I have access to the resources I need to live and thrive with my Type 1 Diabetes.  The nurses …"
https://lh3.googleusercontent.com/a-/ALV-UjU_qctrcrCgzWSDBXcmlezAU6JhkRIf0uzGB8_tSItoT3Dhh2Sh=w43-h43-p-rp-mo-br100,Ronni G,3 weeks ago,"Great, empathetic nurses.  Great team of surgeons, I met 8 of them. They  all took the time to explain the procédures, risks, etc.  I came into emergency by ambulance and after diligent testing I was operated the next day. It is definitely …"
https://lh3.googleusercontent.com/a/ACg8ocIyCUVt6IpbHwpHFzaMxlvi-gyxBognAGby0aWYAAa0bmdHUPN8=w43-h43-p-rp-mo-br100,Joanne Hodder,a month ago,"I arrived at Endoscopy in the afternoon, a period of decreased business.
The admission desk lady was warm and professional.
The admitting nurse Kathleen was personable, efficient, professional and …"
https://lh3.googleusercontent.com/a/ACg8ocKM5XoY9DSSrQPsEewzvq_mxatRIQGC8qY5vc2nvGg7JCjERA=w43-h43-p-rp-mo-ba5-br100,Suzette Hammond,3 weeks ago,"This day and age, when you go to any emergency at any hospital, there is an extremely long wait, my wait was 10 hours. Once I was taken to a bed I received help fairly quickly. The doctor and nurses did everything in their power to help me, …"
https://lh3.googleusercontent.com/a/ACg8ocJ1pMXEgt6ycCwBOCNvTJ8RXgz-nNCKpm7wXxuxwqom1GnjiQ=w43-h43-p-rp-mo-br100,jeremy jardine,a month ago,"Just wasted 4 hrs in emergency for emergency stitches.
Ended up sleeping with the street people in waiting room with no sign of admittance. …"
https://lh3.googleusercontent.com/a/ACg8ocImELt3pPgKwVjMd8HZ2xjOVIW8CyqT7WG0LM3TOos8VECiTA=w43-h43-p-rp-mo-br100,C C,3 months ago,Left work to come to emerge for severe abdominal pain and stool in blood plus more symptoms. Waited 11 hours (which is to be expected).  What is really concerning and upsetting is finally when I got to see a doctor he pulled the curtain …
https://lh3.googleusercontent.com/a/ACg8ocJyNhYG1o_HlGlwllptiunssudK2rDZ2N82q_Etnjzx8igzuQ=w43-h43-p-rp-mo-br100,Aarzoo Makhani,2 months ago,We went to the emergency department and the staff there is amazing. They guided us with utmost care. The kindness of nurses there made me smile. Thank you for being the amazing people that you are. You all make world a better place🩷 …
https://lh3.googleusercontent.com/a/ACg8ocJUJEsWEG3oUmIvq8ZBVJ5u06BnEwd1YEAwqCOZTVNsecDanw=w43-h43-p-rp-mo-br100,Maham R,3 months ago,The Nurses in the Emergency section at Royal Alexandria Hospital are literal angels. We were visiting from out of country. I came in to the ER on a long weekend (9/2/24) and the lobby was packed. My son had split open his chin from a bad …
https://lh3.googleusercontent.com/a/ACg8ocJT4lbt1nccfM7uxhYY472MqtrzCLH1pRF5XScySF2aLKQUaw=w43-h43-p-rp-mo-ba2-br100,James Anderson,5 months ago,"This hospital has some funny nurses. When I got my surgery here in Mid may, one exclaimed “it’s too early for this, I need a tequila shot”. Cracked me up. Another one said “it’s all good as long as you’re not dying”. I recommend this …"
https://lh3.googleusercontent.com/a-/ALV-UjVjwCmU0YaCXuHIgT5V4xiv--2nRLUf-N5MjzDm9uDr08f8SW-Z-Q=w43-h43-p-rp-mo-ba3-br100,Mochi Teoyohtica,6 months ago,"I of course cannot speak for all the staff there, of the times I did go to this hospital as a visitor or patient, we were always treated with respect.
Of course the only issue is the emergency room wait time (at times) but that is …"
https://lh3.googleusercontent.com/a/ACg8ocKdEdEGGX0OtZZC4p7W2vtrJDdrIBYctmXILXnHzptk5R-XSw=w43-h43-p-rp-mo-br100,Michael G,a month ago,"This hospital loves c-sections, and the nurses are always eager to offer epuderal so that in the end, they will tell you that they can't understand your baby's heartbeat. The churigians will start visiting you to talk to you about c-section under the pretext that the baby is no longer happy. I assume what I say I've been there 3 times."
https://lh3.googleusercontent.com/a/ACg8ocLldHi1rAfosS6N5cjG3EV5DoyowpkwuSSDMPwPb8jSznQrEA=w43-h43-p-rp-mo-br100,Anjanie,3 months ago,Today I had a cardiac procedure performed there. The two nurses who took care of me and Dr Lockwood were exceptional. I would definitely give 10 stars if I could. Thank you so much!!! Anjanie Austin. Robbin’s Pavilion
https://lh3.googleusercontent.com/a-/ALV-UjUOhp3K3fH9mDPh1-PGBvbIOmynUVuJoTYapAV2jeqA9tTqGqKY=w43-h43-p-rp-mo-ba4-br100,Heather Rai Daniels (Kimberly Simpson),a month ago,"I haven’t been in a hospital in a large city before, but I was there from about 3 AM to 5 PM next day. I was never offered a bite to eat until I was about to leave and I told them how hungry I was and I was given half a sandwich, an orange …"
https://lh3.googleusercontent.com/a-/ALV-UjXuHQo2tSoovecbU9jw-SYUXG9oVzrjpB9ZHRduhWa3TYX2ikWH=w43-h43-p-rp-mo-br100,Leona Jasmine Icalla,a month ago,"if you have sickle cell, here are some reasons why this is the WORST place to go to:
- ER staff are racist and verbally abusive to their patients (nurses will swear …"
https://lh3.googleusercontent.com/a-/ALV-UjWUEsl2LB7tgcOY-T7eZehHG7d19V2pNm6SEJBuJaNQWlGix152VA=w43-h43-p-rp-mo-ba2-br100,Melanie Wilson,3 months ago,"Some of The nursing staff at this hospital are heartless and more concerned about making their job as easy as possible, rather than actually assisting their patients properly. (Too many details to provide on this review). I've never seen …"
https://lh3.googleusercontent.com/a/ACg8ocJmLy4NAiiadvpSwshbO7Kql45Nwfyh_yHl7QW684IyFuvgNg=w43-h43-p-rp-mo-br100,loon tunexs,a month ago,"Last sunday, I suffered a heart attack and thought it might  br the end.upon arrival at the Royal Alex  I was treated extremely well.
I was somewhat distraught, but the professionalism and care recieved was …"
https://lh3.googleusercontent.com/a/ACg8ocI51njNOwrjRVuR6e-DZJPmNZiu_J_R0GjiCBauxOPXkGZNfQ=w43-h43-p-rp-mo-br100,Keagan Alldred,5 months ago,"I have nothing but amazing things to say about the delivery team(doctors and nurses). They were amazing and delivered our babies safe and sound.  My 1 star review could easily be negative if it was possible, due to the NICU …"
https://lh3.googleusercontent.com/a-/ALV-UjUR7bvEK0s8BJYa2ygpuqhpWWix0lunBOy7rBBHDNz9Ry1u_S1g=w43-h43-p-rp-mo-ba2-br100,Jay Mutchler,2 months ago,"Just an unorganized disgusting hole in the wall. Once you leave the waiting room, you enter the back area where nurses are laughing and/or bitching. Then you meet the egotistical doctor who doesn't care about you at all. Sends you home with …"
https://lh3.googleusercontent.com/a/ACg8ocLGTxpR3tl2Vou2dIJtp5ZX0Ls9fg-qm5XFWOQ6j-GiYI3ZGg=w43-h43-p-rp-mo-br100,Lefeu Devorant,2 months ago,"The C section hospital, they've been giving epidural to women and tell them that after the baby is not happy, and we recommend the C section scaring the patient, all they just want more money. Most black women got C section at Royal Alexandra. Stay away from this hospital"
https://lh3.googleusercontent.com/a-/ALV-UjVK2u8D2Va2bQqBVKg437VBVLIqTAg_xMOVZym_xaSk0dDmj2IOZA=w43-h43-p-rp-mo-br100,sabrina saba marsha,2 months ago,I went to the emergency at 7pm on 8th September. On internet wait time showed 3 and half hour. But I had to wait 8long hours. Then around 3.17am they took me to inside to see a doctor. Gave me a room but no one came properly for my vitals …
https://lh3.googleusercontent.com/a/ACg8ocKb--CrgrPxKrAhxyHVU59DW8EwNwwUJvC019cbTr8D6Q5Bjg=w43-h43-p-rp-mo-br100,Madison,4 months ago,DO NOT GO HERE! The emergency room is hours upon hours wait to see someone and the nurses don’t even know what’s going on half the time. I have an open cut on my arm and they told me I would not have to wait that long because it was an open …
https://lh3.googleusercontent.com/a-/ALV-UjU5TwjLjnEk-N9K5uQ1QR0GRWBVxNZf2Rka8SnV3DDKYVf-97KK=w43-h43-p-rp-mo-br100,T/A,a week ago,"Nov 06,  while I was walking my girlfriends dog.... I was attacked by 2 pitbulls unleashed unprovoked....in order to save our dog i picked it up,   which then of course opened my legs to their attack...to make this short....lots of stitches …"
https://lh3.googleusercontent.com/a-/ALV-UjUBUPkZ-rZfcemO-ZM3jles82kN2MV6IHMS-WR_Y63ACSiGYFjC=w43-h43-p-rp-mo-ba2-br100,Justin Small,4 months ago,"Lady was horrible. No mannerism.. I understand privacy policy,  but I'm pretty sure they can say whether my bf is alive or dead. I will never go to this hospital. I don't trust em."
